Order Number,Order Date and Time,Order_City,Restaurant Type,Total Bill (in Saudi Riyals),Delivery Duration (in minutes),Customer Rating (from 1 to 5 stars),Realistic Rating Order Time,Customer_Rating_Cities,Customer_Rating_Restaurants,Customer_Rating_Order_Time,Customer_Rating_Money_Spent
216,2023-03-17 01:34:00,Abha,Seafood,623.5,19,2,3,4.220661985957873,4.227218934911242,4.268472906403941,3.0
217,2022-02-06 05:30:00,Khobar,Indian Cuisine,402.98,18,3,4,4.293617021276596,4.278230500582072,4.259345794392523,4.0
218,2023-08-17 15:04:00,Tabuk,Seafood,460.0,16,4,3,4.244618395303327,4.227218934911242,4.225882352941176,3.0
219,2024-05-25 01:19:00,Tabuk,Fast Food,530.04,6,3,5,4.244618395303327,4.261648745519714,4.268472906403941,5.0
220,2024-06-13 16:32:00,Medina,Fast Food,694.53,8,5,4,4.239393939393939,4.261648745519714,4.197222222222222,4.0
221,2022-01-06 14:01:00,Buraidah,Italian Cuisine,365.32,4,4,4,4.271219512195122,4.233890214797136,4.261958997722096,4.0
222,2024-04-04 18:42:00,Buraidah,Coffee,755.65,13,4,5,4.271219512195122,4.208937198067633,4.261851015801354,5.0
223,2023-08-22 00:43:00,Jeddah,Coffee,593.26,16,4,4,4.223851417399804,4.208937198067633,4.241217798594848,4.0
224,2022-01-03 10:01:00,Jeddah,Barbecue,715.48,7,3,5,4.223851417399804,4.260663507109005,4.231884057971015,5.0
225,2024-11-29 20:01:00,Abha,Sushi,440.46,10,3,5,4.220661985957873,4.198135198135198,4.222477064220183,5.0
226,2023-12-27 00:52:00,Buraidah,Indian Cuisine,188.64,19,3,2,4.271219512195122,4.278230500582072,4.241217798594848,2.0
227,2023-06-07 05:20:00,Medina,Pizzeria,631.19,4,4,5,4.239393939393939,4.228944246737841,4.259345794392523,5.0
228,2024-12-31 16:53:00,Medina,Burger,597.79,19,3,4,4.239393939393939,4.271698113207547,4.197222222222222,4.0
229,2023-08-10 11:24:00,Tabuk,Barbecue,485.67,14,4,5,4.244618395303327,4.260663507109005,4.254498714652956,4.5
230,2023-10-12 22:05:00,Jeddah,Coffee,495.79,12,2,4,4.223851417399804,4.208937198067633,4.18734793187348,3.0
231,2022-04-11 18:43:00,Abha,Coffee,726.36,12,4,5,4.220661985957873,4.208937198067633,4.261851015801354,5.0
232,2022-10-19 17:18:00,Buraidah,Pizzeria,359.63,9,2,4,4.271219512195122,4.228944246737841,4.21123595505618,4.0
233,2024-11-26 18:07:00,Hail,Sushi,614.64,11,1,5,4.204795204795205,4.198135198135198,4.261851015801354,5.0
234,2024-04-10 21:23:00,Abha,Coffee,750.5,6,5,4,4.220661985957873,4.208937198067633,4.353808353808354,4.0
235,2022-03-03 00:55:00,Medina,Vegetarian/Vegan,161.09,5,4,5,4.239393939393939,4.229857819905213,4.241217798594848,5.0
236,2024-05-21 00:47:00,Dammam,Burger,49.87,16,3,4,4.231064237775647,4.271698113207547,4.241217798594848,4.0
237,2024-10-20 13:34:00,Medina,Vegetarian/Vegan,241.08,11,2,4,4.239393939393939,4.229857819905213,4.231578947368421,4.0
238,2022-09-01 00:38:00,Hail,Barbecue,324.81,15,3,5,4.204795204795205,4.260663507109005,4.241217798594848,4.5
239,2024-04-25 07:19:00,Medina,Seafood,271.28,11,2,4,4.239393939393939,4.227218934911242,4.263657957244655,4.0
240,2022-11-11 03:42:00,Medina,Pizzeria,463.22,15,5,5,4.239393939393939,4.228944246737841,4.199017199017199,5.0
241,2022-02-27 20:35:00,Riyadh,Seafood,298.11,17,4,4,4.241127348643007,4.227218934911242,4.222477064220183,4.0
242,2023-05-12 00:41:00,Mecca,Barbecue,340.21,20,4,3,4.278721278721279,4.260663507109005,4.241217798594848,3.0
243,2024-12-15 01:37:00,Buraidah,Indian Cuisine,731.08,19,1,3,4.271219512195122,4.278230500582072,4.268472906403941,4.0
244,2022-11-07 23:40:00,Tabuk,Bakeries,362.31,15,2,4,4.244618395303327,4.241975308641975,4.266666666666667,4.0
245,2023-06-24 14:59:00,Jeddah,Fast Food,102.05,17,3,3,4.223851417399804,4.261648745519714,4.261958997722096,3.0
246,2024-11-13 21:18:00,Abha,Seafood,658.24,19,1,2,4.220661985957873,4.227218934911242,4.353808353808354,2.0
247,2024-10-28 04:26:00,Hail,Indian Cuisine,257.26,10,4,5,4.204795204795205,4.278230500582072,4.286407766990291,5.0
248,2024-12-26 17:09:00,Dammam,Coffee,638.61,9,2,4,4.231064237775647,4.208937198067633,4.21123595505618,4.0
249,2023-05-30 12:08:00,Dammam,Burger,541.93,6,5,5,4.231064237775647,4.271698113207547,4.327868852459017,5.0
250,2023-05-02 10:36:00,Medina,Indian Cuisine,561.01,16,4,2,4.239393939393939,4.278230500582072,4.231884057971015,2.0
251,2024-10-16 08:05:00,Hail,Seafood,364.97,7,5,4,4.204795204795205,4.227218934911242,4.163461538461538,4.0
252,2023-07-14 11:31:00,Dammam,Italian Cuisine,409.7,11,1,5,4.231064237775647,4.233890214797136,4.254498714652956,3.5
253,2025-01-25 07:04:00,Riyadh,Indian Cuisine,154.41,19,4,2,4.241127348643007,4.278230500582072,4.263657957244655,2.0
254,2023-05-13 00:40:00,Riyadh,Indian Cuisine,797.45,19,1,2,4.241127348643007,4.278230500582072,4.241217798594848,2.0
255,2023-12-09 19:41:00,Dammam,Fast Food,568.73,7,3,4,4.231064237775647,4.261648745519714,4.238207547169812,4.0
256,2023-11-26 07:54:00,Riyadh,Barbecue,608.98,11,2,4,4.241127348643007,4.260663507109005,4.263657957244655,4.0
257,2023-07-12 01:59:00,Jeddah,Barbecue,253.03,14,1,4,4.223851417399804,4.260663507109005,4.268472906403941,4.0
258,2023-01-29 05:17:00,Jeddah,Sweets,119.92,14,2,5,4.223851417399804,4.297872340425532,4.259345794392523,5.0
259,2024-10-23 23:13:00,Medina,Coffee,340.49,7,5,5,4.239393939393939,4.208937198067633,4.266666666666667,5.0
260,2023-01-11 03:25:00,Jeddah,Sushi,372.51,19,3,2,4.223851417399804,4.198135198135198,4.199017199017199,2.0
261,2022-02-16 08:01:00,Riyadh,Seafood,135.02,18,2,2,4.241127348643007,4.227218934911242,4.163461538461538,2.0
262,2022-09-27 12:14:00,Dammam,Coffee,215.22,7,5,5,4.231064237775647,4.208937198067633,4.327868852459017,5.0
263,2024-05-19 13:58:00,Buraidah,Vegetarian/Vegan,289.57,18,3,4,4.271219512195122,4.229857819905213,4.231578947368421,4.0
264,2023-05-05 13:07:00,Buraidah,Italian Cuisine,537.13,19,1,3,4.271219512195122,4.233890214797136,4.231578947368421,3.0
265,2024-09-08 02:18:00,Khobar,Vegetarian/Vegan,558.05,10,2,5,4.293617021276596,4.229857819905213,4.270471464019852,5.0
266,2022-10-05 13:41:00,Riyadh,Indian Cuisine,455.12,6,1,5,4.241127348643007,4.278230500582072,4.231578947368421,5.0
267,2023-02-20 09:03:00,Abha,Vegetarian/Vegan,496.34,6,4,5,4.220661985957873,4.229857819905213,4.209134615384615,5.0
268,2024-09-03 07:40:00,Tabuk,Seafood,677.45,6,3,5,4.244618395303327,4.227218934911242,4.263657957244655,5.0
269,2024-01-28 01:30:00,Medina,Burger,688.84,16,2,2,4.239393939393939,4.271698113207547,4.268472906403941,2.0
270,2023-05-11 04:04:00,Medina,Seafood,728.1,10,3,5,4.239393939393939,4.227218934911242,4.286407766990291,5.0
271,2024-03-25 02:02:00,Riyadh,Sweets,467.26,12,3,5,4.241127348643007,4.297872340425532,4.270471464019852,5.0
272,2024-04-15 11:20:00,Jeddah,Sweets,84.78,12,5,4,4.223851417399804,4.297872340425532,4.254498714652956,4.0
273,2024-06-14 16:42:00,Riyadh,Pizzeria,484.92,17,4,3,4.241127348643007,4.228944246737841,4.197222222222222,3.0
274,2024-07-18 11:33:00,Mecca,Seafood,729.89,11,5,5,4.278721278721279,4.227218934911242,4.254498714652956,5.0
275,2023-04-14 12:35:00,Hail,Seafood,367.84,4,3,5,4.204795204795205,4.227218934911242,4.327868852459017,5.0
276,2025-01-06 17:10:00,Jeddah,Fast Food,275.91,13,3,4,4.223851417399804,4.261648745519714,4.21123595505618,4.0
277,2022-10-04 10:53:00,Abha,Fast Food,544.11,17,1,3,4.220661985957873,4.261648745519714,4.231884057971015,3.0
278,2022-06-16 14:56:00,Khobar,Indian Cuisine,99.91,15,2,5,4.293617021276596,4.278230500582072,4.261958997722096,3.5
279,2023-10-30 18:25:00,Hail,Italian Cuisine,297.01,16,3,2,4.204795204795205,4.233890214797136,4.261851015801354,2.0
280,2023-04-24 13:10:00,Jeddah,Seafood,514.09,7,5,4,4.223851417399804,4.227218934911242,4.231578947368421,4.0
281,2023-06-22 16:24:00,Medina,Vegetarian/Vegan,71.37,13,3,5,4.239393939393939,4.229857819905213,4.197222222222222,5.0
282,2023-04-19 18:16:00,Medina,Sweets,298.61,18,5,4,4.239393939393939,4.297872340425532,4.261851015801354,4.0
283,2024-07-02 02:01:00,Abha,Coffee,232.22,8,4,4,4.220661985957873,4.208937198067633,4.270471464019852,4.5
284,2023-11-25 09:41:00,Khobar,Barbecue,180.87,9,3,4,4.293617021276596,4.260663507109005,4.209134615384615,4.0
285,2022-08-19 11:15:00,Khobar,Barbecue,439.82,18,4,4,4.293617021276596,4.260663507109005,4.254498714652956,4.0
286,2024-11-09 08:03:00,Hail,Italian Cuisine,102.96,7,3,5,4.204795204795205,4.233890214797136,4.163461538461538,5.0
287,2022-07-17 10:54:00,Medina,Vegetarian/Vegan,311.73,8,4,5,4.239393939393939,4.229857819905213,4.231884057971015,5.0
288,2022-08-25 03:43:00,Jeddah,Bakeries,183.81,13,3,4,4.223851417399804,4.241975308641975,4.199017199017199,4.0
289,2022-01-17 12:27:00,Riyadh,Sushi,700.77,18,3,2,4.241127348643007,4.198135198135198,4.327868852459017,2.0
290,2022-01-17 00:09:00,Khobar,Sweets,455.66,4,3,5,4.293617021276596,4.297872340425532,4.241217798594848,5.0
291,2023-12-27 05:47:00,Riyadh,Pizzeria,50.01,13,4,4,4.241127348643007,4.228944246737841,4.259345794392523,4.0
292,2022-08-16 02:58:00,Khobar,Sushi,315.51,13,2,5,4.293617021276596,4.198135198135198,4.270471464019852,5.0
293,2024-09-01 05:23:00,Jeddah,Fast Food,534.68,15,4,4,4.223851417399804,4.261648745519714,4.259345794392523,4.0
294,2024-04-03 09:26:00,Buraidah,Bakeries,763.65,4,2,5,4.271219512195122,4.241975308641975,4.209134615384615,4.0
295,2023-09-13 15:05:00,Mecca,Seafood,714.08,19,5,2,4.278721278721279,4.227218934911242,4.225882352941176,2.0
296,2022-06-27 00:35:00,Buraidah,Fast Food,37.92,16,4,3,4.271219512195122,4.261648745519714,4.241217798594848,3.0
297,2025-01-18 14:09:00,Dammam,Coffee,422.21,14,1,5,4.231064237775647,4.208937198067633,4.261958997722096,5.0
298,2023-04-12 02:21:00,Buraidah,Indian Cuisine,371.23,8,2,5,4.271219512195122,4.278230500582072,4.270471464019852,5.0
299,2022-12-26 02:47:00,Khobar,Vegetarian/Vegan,712.53,6,4,5,4.293617021276596,4.229857819905213,4.270471464019852,5.0
300,2024-02-29 17:58:00,Abha,Fast Food,669.44,13,2,5,4.220661985957873,4.261648745519714,4.21123595505618,5.0
301,2022-02-18 17:39:00,Khobar,Pizzeria,536.92,8,2,5,4.293617021276596,4.228944246737841,4.21123595505618,3.5
302,2024-09-02 09:40:00,Mecca,Pizzeria,633.76,11,3,5,4.278721278721279,4.228944246737841,4.209134615384615,5.0
303,2023-11-29 22:03:00,Hail,Burger,365.16,6,1,5,4.204795204795205,4.271698113207547,4.18734793187348,5.0
304,2024-11-29 03:11:00,Abha,Fast Food,400.02,8,5,5,4.220661985957873,4.261648745519714,4.199017199017199,5.0
305,2022-08-15 19:37:00,Buraidah,Vegetarian/Vegan,585.56,20,4,3,4.271219512195122,4.229857819905213,4.238207547169812,3.0
306,2022-09-14 04:55:00,Mecca,Bakeries,129.65,15,5,4,4.278721278721279,4.241975308641975,4.286407766990291,4.0
307,2023-12-10 17:58:00,Medina,Vegetarian/Vegan,202.3,15,2,5,4.239393939393939,4.229857819905213,4.21123595505618,5.0
308,2023-11-28 11:29:00,Buraidah,Vegetarian/Vegan,37.56,18,2,4,4.271219512195122,4.229857819905213,4.254498714652956,4.0
309,2022-04-06 08:22:00,Khobar,Bakeries,480.54,6,3,5,4.293617021276596,4.241975308641975,4.163461538461538,5.0
310,2022-02-13 23:38:00,Hail,Barbecue,195.66,18,4,2,4.204795204795205,4.260663507109005,4.266666666666667,2.0
311,2023-09-22 08:06:00,Khobar,Sweets,686.52,5,4,5,4.293617021276596,4.297872340425532,4.163461538461538,5.0
312,2024-02-21 07:16:00,Jeddah,Seafood,111.21,13,1,4,4.223851417399804,4.227218934911242,4.263657957244655,4.0
313,2024-08-26 06:38:00,Dammam,Sushi,54.16,17,4,3,4.231064237775647,4.198135198135198,4.230769230769231,3.0
314,2023-02-12 22:35:00,Khobar,Sushi,469.65,16,1,2,4.293617021276596,4.198135198135198,4.18734793187348,2.0
315,2022-11-22 23:12:00,Khobar,Barbecue,74.95,10,4,5,4.293617021276596,4.260663507109005,4.266666666666667,5.0
316,2022-03-29 08:55:00,Khobar,Sushi,156.71,16,3,3,4.293617021276596,4.198135198135198,4.163461538461538,3.0
317,2023-02-23 11:46:00,Buraidah,Coffee,333.4,17,3,2,4.271219512195122,4.208937198067633,4.254498714652956,2.0
318,2023-04-09 03:29:00,Dammam,Vegetarian/Vegan,559.29,4,3,4,4.231064237775647,4.229857819905213,4.199017199017199,4.0
319,2022-04-30 07:21:00,Jeddah,Seafood,334.76,8,5,5,4.223851417399804,4.227218934911242,4.263657957244655,5.0
320,2024-06-12 09:09:00,Buraidah,Coffee,173.06,18,3,3,4.271219512195122,4.208937198067633,4.209134615384615,3.0
321,2022-11-02 10:10:00,Medina,Seafood,602.95,10,2,5,4.239393939393939,4.227218934911242,4.231884057971015,5.0
322,2024-06-30 06:42:00,Hail,Fast Food,683.24,12,2,5,4.204795204795205,4.261648745519714,4.230769230769231,5.0
323,2024-08-25 03:21:00,Khobar,Bakeries,205.19,18,4,3,4.293617021276596,4.241975308641975,4.199017199017199,3.0
324,2023-11-27 23:34:00,Khobar,Vegetarian/Vegan,444.15,12,1,5,4.293617021276596,4.229857819905213,4.266666666666667,5.0
325,2024-06-02 15:19:00,Riyadh,Burger,42.7,13,4,5,4.241127348643007,4.271698113207547,4.225882352941176,5.0
326,2022-09-20 15:26:00,Medina,Vegetarian/Vegan,654.25,9,4,5,4.239393939393939,4.229857819905213,4.225882352941176,5.0
327,2024-10-31 03:21:00,Medina,Indian Cuisine,370.88,18,5,3,4.239393939393939,4.278230500582072,4.199017199017199,2.5
328,2022-04-26 13:10:00,Khobar,Fast Food,255.92,18,1,4,4.293617021276596,4.261648745519714,4.231578947368421,4.0
329,2024-01-18 12:14:00,Hail,Burger,494.6,5,1,5,4.204795204795205,4.271698113207547,4.327868852459017,5.0
330,2022-11-24 02:18:00,Jeddah,Barbecue,429.02,19,2,3,4.223851417399804,4.260663507109005,4.270471464019852,3.0
331,2022-11-13 22:47:00,Jeddah,Italian Cuisine,565.92,12,2,5,4.223851417399804,4.233890214797136,4.18734793187348,5.0
332,2023-01-13 13:42:00,Abha,Indian Cuisine,436.33,13,4,5,4.220661985957873,4.278230500582072,4.231578947368421,5.0
333,2023-03-06 02:13:00,Tabuk,Seafood,264.07,12,4,5,4.244618395303327,4.227218934911242,4.270471464019852,5.0
334,2023-05-07 21:18:00,Hail,Sweets,234.83,7,4,4,4.204795204795205,4.297872340425532,4.353808353808354,4.0
335,2024-10-29 02:15:00,Dammam,Burger,625.57,4,2,4,4.231064237775647,4.271698113207547,4.270471464019852,4.0
336,2024-07-13 12:13:00,Jeddah,Italian Cuisine,95.89,17,2,3,4.223851417399804,4.233890214797136,4.327868852459017,3.0
337,2024-12-27 07:26:00,Riyadh,Fast Food,166.71,8,4,5,4.241127348643007,4.261648745519714,4.263657957244655,5.0
338,2022-12-21 15:22:00,Mecca,Sushi,396.58,5,5,5,4.278721278721279,4.198135198135198,4.225882352941176,5.0
339,2023-03-07 03:17:00,Abha,Indian Cuisine,55.0,8,4,5,4.220661985957873,4.278230500582072,4.199017199017199,5.0
340,2022-04-04 21:08:00,Tabuk,Seafood,180.84,7,1,5,4.244618395303327,4.227218934911242,4.353808353808354,5.0
341,2023-08-28 01:09:00,Abha,Sushi,625.98,8,1,5,4.220661985957873,4.198135198135198,4.268472906403941,5.0
342,2024-09-14 19:34:00,Mecca,Barbecue,618.08,9,4,5,4.278721278721279,4.260663507109005,4.238207547169812,5.0
343,2024-01-02 22:18:00,Riyadh,Barbecue,792.76,17,4,3,4.241127348643007,4.260663507109005,4.18734793187348,3.0
344,2022-07-22 17:17:00,Buraidah,Vegetarian/Vegan,542.53,15,3,5,4.271219512195122,4.229857819905213,4.21123595505618,5.0
345,2023-04-05 10:58:00,Mecca,Fast Food,419.59,8,3,4,4.278721278721279,4.261648745519714,4.231884057971015,4.0
346,2023-01-15 08:44:00,Dammam,Seafood,513.24,17,3,4,4.231064237775647,4.227218934911242,4.163461538461538,4.0
347,2024-06-27 05:26:00,Abha,Italian Cuisine,274.7,19,3,4,4.220661985957873,4.233890214797136,4.259345794392523,4.0
348,2022-08-05 11:55:00,Dammam,Barbecue,541.86,7,4,4,4.231064237775647,4.260663507109005,4.254498714652956,4.0
349,2024-09-29 10:09:00,Mecca,Burger,315.27,20,1,3,4.278721278721279,4.271698113207547,4.231884057971015,3.0
350,2022-12-14 12:46:00,Dammam,Vegetarian/Vegan,161.5,14,4,4,4.231064237775647,4.229857819905213,4.327868852459017,4.0
351,2022-06-05 02:53:00,Abha,Coffee,379.51,11,1,4,4.220661985957873,4.208937198067633,4.270471464019852,4.0
352,2023-08-09 17:05:00,Tabuk,Fast Food,156.91,13,5,5,4.244618395303327,4.261648745519714,4.21123595505618,5.0
353,2024-07-24 09:51:00,Tabuk,Burger,340.01,18,3,3,4.244618395303327,4.271698113207547,4.209134615384615,4.0
354,2023-06-13 05:57:00,Tabuk,Bakeries,119.21,14,3,4,4.244618395303327,4.241975308641975,4.259345794392523,4.0
355,2023-04-05 17:14:00,Buraidah,Coffee,386.56,16,2,4,4.271219512195122,4.208937198067633,4.21123595505618,4.0
356,2024-01-30 10:18:00,Medina,Pizzeria,790.28,11,2,5,4.239393939393939,4.228944246737841,4.231884057971015,4.0
357,2022-11-07 18:52:00,Medina,Fast Food,388.13,20,2,3,4.239393939393939,4.261648745519714,4.261851015801354,3.0
358,2022-01-13 18:09:00,Abha,Seafood,144.79,7,4,5,4.220661985957873,4.227218934911242,4.261851015801354,5.0
359,2024-08-31 03:11:00,Jeddah,Bakeries,109.51,15,3,4,4.223851417399804,4.241975308641975,4.199017199017199,4.0
360,2024-12-27 20:23:00,Mecca,Sweets,555.41,5,2,5,4.278721278721279,4.297872340425532,4.222477064220183,5.0
361,2024-06-19 00:39:00,Khobar,Coffee,453.49,6,5,4,4.293617021276596,4.208937198067633,4.241217798594848,4.0
362,2024-10-11 20:11:00,Jeddah,Vegetarian/Vegan,641.0,9,5,5,4.223851417399804,4.229857819905213,4.222477064220183,4.0
363,2024-08-24 03:32:00,Riyadh,Indian Cuisine,744.27,4,2,5,4.241127348643007,4.278230500582072,4.199017199017199,5.0
364,2024-05-20 22:12:00,Medina,Pizzeria,501.14,16,2,4,4.239393939393939,4.228944246737841,4.18734793187348,4.0
365,2024-08-25 11:10:00,Mecca,Burger,382.41,10,4,5,4.278721278721279,4.271698113207547,4.254498714652956,4.5
366,2022-08-28 07:10:00,Khobar,Vegetarian/Vegan,281.25,6,3,5,4.293617021276596,4.229857819905213,4.263657957244655,5.0
367,2022-04-02 23:45:00,Riyadh,Seafood,406.2,6,2,5,4.241127348643007,4.227218934911242,4.266666666666667,5.0
368,2022-07-28 11:23:00,Riyadh,Italian Cuisine,209.32,9,3,5,4.241127348643007,4.233890214797136,4.254498714652956,5.0
369,2024-08-16 18:55:00,Jeddah,Barbecue,504.99,18,3,3,4.223851417399804,4.260663507109005,4.261851015801354,3.0
370,2024-05-24 04:19:00,Khobar,Italian Cuisine,412.68,9,1,5,4.293617021276596,4.233890214797136,4.286407766990291,5.0
371,2023-08-25 20:56:00,Khobar,Seafood,517.4,10,3,4,4.293617021276596,4.227218934911242,4.222477064220183,4.0
372,2023-09-14 00:57:00,Hail,Sushi,56.49,8,5,5,4.204795204795205,4.198135198135198,4.241217798594848,4.5
373,2022-02-17 08:54:00,Mecca,Indian Cuisine,496.61,11,2,5,4.278721278721279,4.278230500582072,4.163461538461538,5.0
374,2024-03-02 13:11:00,Dammam,Barbecue,82.79,6,4,5,4.231064237775647,4.260663507109005,4.231578947368421,5.0
375,2024-07-28 20:06:00,Medina,Bakeries,560.91,11,3,5,4.239393939393939,4.241975308641975,4.222477064220183,5.0
376,2023-12-30 11:45:00,Abha,Bakeries,87.59,18,4,4,4.220661985957873,4.241975308641975,4.254498714652956,4.0
377,2024-10-19 15:58:00,Khobar,Fast Food,558.14,15,4,5,4.293617021276596,4.261648745519714,4.225882352941176,5.0
378,2025-01-27 22:44:00,Hail,Vegetarian/Vegan,460.69,17,2,3,4.204795204795205,4.229857819905213,4.18734793187348,3.0
379,2024-08-11 12:52:00,Dammam,Seafood,553.61,6,3,5,4.231064237775647,4.227218934911242,4.327868852459017,4.5
380,2023-08-15 10:45:00,Abha,Sushi,231.58,12,4,4,4.220661985957873,4.198135198135198,4.231884057971015,4.0
381,2022-03-07 09:47:00,Khobar,Indian Cuisine,173.1,14,2,5,4.293617021276596,4.278230500582072,4.209134615384615,5.0
382,2024-12-04 12:33:00,Riyadh,Burger,435.83,9,4,5,4.241127348643007,4.271698113207547,4.327868852459017,5.0
383,2022-06-30 03:57:00,Tabuk,Vegetarian/Vegan,709.57,12,1,5,4.244618395303327,4.229857819905213,4.199017199017199,5.0
384,2023-10-12 16:38:00,Jeddah,Vegetarian/Vegan,703.36,4,4,5,4.223851417399804,4.229857819905213,4.197222222222222,5.0
385,2023-06-06 22:59:00,Abha,Barbecue,72.86,12,2,4,4.220661985957873,4.260663507109005,4.18734793187348,4.0
386,2024-04-17 23:30:00,Medina,Sweets,513.94,8,3,4,4.239393939393939,4.297872340425532,4.266666666666667,4.0
387,2023-12-27 08:34:00,Khobar,Vegetarian/Vegan,248.24,5,2,5,4.293617021276596,4.229857819905213,4.163461538461538,4.5
388,2024-11-27 23:08:00,Buraidah,Sweets,512.0,9,5,5,4.271219512195122,4.297872340425532,4.266666666666667,5.0
389,2023-06-30 18:14:00,Riyadh,Bakeries,335.52,6,1,5,4.241127348643007,4.241975308641975,4.261851015801354,5.0
390,2023-10-19 09:58:00,Medina,Vegetarian/Vegan,239.72,14,3,5,4.239393939393939,4.229857819905213,4.209134615384615,5.0
391,2023-11-13 13:36:00,Medina,Seafood,177.97,13,1,5,4.239393939393939,4.227218934911242,4.231578947368421,4.5
392,2023-05-13 19:23:00,Hail,Sushi,652.53,13,3,5,4.204795204795205,4.198135198135198,4.238207547169812,5.0
393,2023-01-13 08:00:00,Tabuk,Italian Cuisine,281.34,19,4,3,4.244618395303327,4.233890214797136,4.163461538461538,3.0
394,2022-10-13 02:20:00,Khobar,Fast Food,784.54,5,5,4,4.293617021276596,4.261648745519714,4.270471464019852,4.0
395,2022-11-06 07:51:00,Abha,Burger,546.94,5,4,4,4.220661985957873,4.271698113207547,4.263657957244655,4.0
396,2023-03-11 10:21:00,Tabuk,Barbecue,598.05,15,3,5,4.244618395303327,4.260663507109005,4.231884057971015,5.0
397,2024-03-28 12:14:00,Tabuk,Barbecue,431.07,4,3,4,4.244618395303327,4.260663507109005,4.327868852459017,4.0
398,2023-07-07 11:05:00,Mecca,Sushi,729.9,7,5,4,4.278721278721279,4.198135198135198,4.254498714652956,4.0
399,2022-10-24 23:43:00,Buraidah,Italian Cuisine,541.22,18,3,4,4.271219512195122,4.233890214797136,4.266666666666667,4.0
400,2023-04-06 13:01:00,Buraidah,Fast Food,80.79,16,4,4,4.271219512195122,4.261648745519714,4.231578947368421,4.0
401,2023-03-15 22:31:00,Buraidah,Barbecue,454.51,10,3,4,4.271219512195122,4.260663507109005,4.18734793187348,4.0
402,2023-07-06 13:48:00,Riyadh,Bakeries,527.16,17,5,4,4.241127348643007,4.241975308641975,4.231578947368421,4.0
403,2023-08-17 19:31:00,Tabuk,Vegetarian/Vegan,529.27,12,3,5,4.244618395303327,4.229857819905213,4.238207547169812,5.0
404,2022-07-20 10:36:00,Tabuk,Indian Cuisine,646.94,7,3,5,4.244618395303327,4.278230500582072,4.231884057971015,5.0
405,2022-11-15 09:39:00,Dammam,Italian Cuisine,308.39,17,5,3,4.231064237775647,4.233890214797136,4.209134615384615,3.0
406,2022-09-22 15:45:00,Abha,Fast Food,225.49,14,4,4,4.220661985957873,4.261648745519714,4.225882352941176,4.0
407,2022-08-26 11:52:00,Dammam,Italian Cuisine,301.01,16,4,3,4.231064237775647,4.233890214797136,4.254498714652956,3.0
408,2022-06-12 22:45:00,Abha,Bakeries,534.21,13,2,4,4.220661985957873,4.241975308641975,4.18734793187348,4.0
409,2024-01-18 22:27:00,Abha,Indian Cuisine,183.23,13,3,4,4.220661985957873,4.278230500582072,4.18734793187348,4.0
410,2024-05-05 19:36:00,Riyadh,Indian Cuisine,152.94,20,5,3,4.241127348643007,4.278230500582072,4.238207547169812,3.0
411,2022-05-01 00:30:00,Hail,Barbecue,421.05,9,2,5,4.204795204795205,4.260663507109005,4.241217798594848,5.0
412,2022-08-12 06:32:00,Tabuk,Seafood,798.0,19,2,2,4.244618395303327,4.227218934911242,4.230769230769231,2.0
413,2024-11-15 13:49:00,Buraidah,Burger,266.21,12,3,5,4.271219512195122,4.271698113207547,4.231578947368421,5.0
